"Source:","D:\sokoban\sokoban.kicad_sch"
"Date:","4/10/2024 15:10:28"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","18"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino","Arduino_Nano_v2.x","Module:Arduino_Nano","Arduino Nano v2.x","",""
"J1","1","Batería","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Conn_01x09_Female","Conn_01x09_Female","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","CONTROL","Conn_01x09_Female","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","oled","Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"LS1","1","Speaker","Speaker","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Speaker","",""
"R1, R2, R3, R4, R5","5","220-10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"SWDOWN1","1","Button","SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","Push button switch, generic, two pins","",""
"SWINTERACT1","1","Button","SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","Push button switch, generic, two pins","",""
"SWLEFT1","1","Button","SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","Push button switch, generic, two pins","",""
"SWRIGHT1","1","Button","SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","Push button switch, generic, two pins","",""
"SWUP1","1","Button","SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","Push button switch, generic, two pins","",""
"U2","1","DFR0299","DFR0299","Library:MODULE_DFR0299","","",""
"U3","1","pam8403","pam8403","Library:pam8403","","",""
